Customerkey,First Name,Last Name,Gender,DateFirstPurchase,Customer City
11000,Jon,Yang,MALE,2011-01-19,Rockhampton
11001,Eugene,Huang,MALE,2011-01-15,Seaford
11002,Ruben,Torres,MALE,2011-01-07,Hobart
11003,Christy,Zhu,FEMALE,2010-12-29,North Ryde
11004,Elizabeth,Johnson,FEMALE,2011-01-23,Wollongong
11005,Julio,Ruiz,MALE,2010-12-30,East Brisbane
11006,Janet,Alvarez,FEMALE,2011-01-24,Matraville
11007,Marco,Mehta,MALE,2011-01-09,Warrnambool
11008,Rob,Verhoff,FEMALE,2011-01-25,Bendigo
11009,Shannon,Carlson,MALE,2011-01-27,Hervey Bay
11010,Jacquelyn,Suarez,FEMALE,2011-01-14,East Brisbane
11011,Curtis,Lu,MALE,2010-12-30,East Brisbane
11012,Lauren,Walker,FEMALE,2013-03-16,Bremerton
11013,Ian,Jenkins,MALE,2013-04-13,Lebanon
11014,Sydney,Bennett,FEMALE,2013-03-23,Redmond
11015,Chloe,Young,FEMALE,2013-01-18,Burbank
11016,Wyatt,Hill,MALE,2013-02-09,Imperial Beach
11017,Shannon,Wang,FEMALE,2011-01-12,Sunbury
11018,Clarence,Rai,MALE,2011-01-17,Bendigo
11019,Luke,Lal,MALE,2013-02-12,Langley
11020,Jordan,King,MALE,2012-12-29,Metchosin
11021,Destiny,Wilson,FEMALE,2013-01-23,Beaverton
11022,Ethan,Zhang,MALE,2013-01-20,Bellingham
11023,Seth,Edwards,MALE,2013-02-17,Bellflower
11024,Russell,Xie,MALE,2013-06-27,Concord
11025,Alejandro,Beck,MALE,2011-01-06,Hawthorne
11026,Harold,Sai,MALE,2011-01-23,Goulburn
11027,Jessie,Zhao,MALE,2011-01-16,Warrnambool
11028,Jill,Jimenez,FEMALE,2011-01-26,St. Leonards
11029,Jimmy,Moreno,MALE,2011-01-19,Bendigo
11030,Bethany,Yuan,FEMALE,2011-02-05,Cloverdale
11031,Theresa,Ramos,FEMALE,2011-02-01,Matraville
11032,Denise,Stone,FEMALE,2011-02-18,Melbourne
11033,Jaime,Nath,MALE,2011-02-15,Milsons Point
11034,Ebony,Gonzalez,FEMALE,2011-02-01,North Sydney
11035,Wendy,Dominguez,FEMALE,2011-02-06,Cranbourne
11036,Jennifer,Russell,FEMALE,2013-01-22,National City
11037,Chloe,Garcia,FEMALE,2013-01-20,Cliffside
11038,Diana,Hernandez,FEMALE,2011-02-07,Lavender Bay
11039,Marc,Martin,MALE,2011-02-07,Wollongong
11040,Jesse,Murphy,MALE,2013-04-03,Tacoma
11041,Amanda,Carter,FEMALE,2013-01-14,Glendale
11042,Megan,Sanchez,FEMALE,2013-01-21,Los Angeles
11043,Nathan,Simmons,MALE,2013-05-08,Glendale
11044,Adam,Flores,MALE,2011-02-28,Hervey Bay
11045,Leonard,Nara,MALE,2013-04-10,Matraville
11046,Christine,Yuan,FEMALE,2011-02-06,Lavender Bay
11047,Jaclyn,Lu,FEMALE,2011-02-03,Geelong
11048,Jeremy,Powell,MALE,2011-02-10,Sunbury
11049,Carol,Rai,FEMALE,2013-03-09,Chula Vista
11050,Alan,Zheng,MALE,2011-02-20,Hobart
11051,Daniel,Johnson,MALE,2013-12-29,Caloundra
11052,Heidi,Lopez,FEMALE,2011-02-17,Matraville
11053,Ana,Price,FEMALE,2013-01-17,San Diego
11054,Deanna,Munoz,FEMALE,2011-02-03,Geelong
11055,Gilbert,Raje,MALE,2011-01-31,East Brisbane
11056,Michele,Nath,FEMALE,2011-02-26,Newcastle
11057,Carl,Andersen,MALE,2011-02-22,Lane Cove
11058,Marc,Diaz,MALE,2011-03-09,Findon
11059,Ashlee,Andersen,FEMALE,2013-02-18,Townsville
11060,Jon,Zhou,MALE,2011-03-19,Warrnambool
11061,Todd,Gao,MALE,2011-03-13,Gold Coast
11062,Noah,Powell,MALE,2013-01-07,Portland
11063,Angela,Murphy,FEMALE,2013-01-12,Redmond
11064,Chase,Reed,MALE,2013-01-25,Downey
11065,Jessica,Henderson,FEMALE,2013-02-10,La Jolla
11066,Grace,Butler,FEMALE,2013-05-31,Lebanon
11067,Caleb,Carter,MALE,2013-08-18,Port Orchard
11068,Tiffany,Liang,FEMALE,2013-04-30,Warrnambool
11069,Carolyn,Navarro,FEMALE,2011-04-17,Gold Coast
11070,Willie,Raji,MALE,2011-04-28,Sunbury
11071,Linda,Serrano,FEMALE,2013-03-01,Hawthorne
11072,Casey,Luo,FEMALE,2011-03-31,St. Leonards
11073,Amy,Ye,FEMALE,2013-03-23,Springwood
11074,Levi,Arun,MALE,2013-03-23,Cloverdale
11075,Felicia,Jimenez,FEMALE,2011-04-28,Bendigo
11076,Blake,Anderson,MALE,2011-04-21,Wollongong
11077,Leah,Ye,FEMALE,2011-04-15,Melton
11078,Gina,Martin,FEMALE,2013-02-15,Cliffside
11079,Donald,Gonzalez,MALE,2013-03-15,Geelong
11080,Damien,Chander,MALE,2011-04-10,Perth
11081,Savannah,Baker,FEMALE,2013-02-12,Concord
11082,Angela,Butler,FEMALE,2013-01-22,Fremont
11083,Alyssa,Cox,FEMALE,2013-01-06,Lincoln Acres
11084,Lucas,Phillips,MALE,2013-01-04,Lebanon
11085,Emily,Johnson,FEMALE,2013-12-06,Newport Beach
11086,Ryan,Brown,MALE,2013-07-02,Santa Monica
11087,Tamara,Liang,FEMALE,2013-02-25,Chula Vista
11088,Hunter,Davis,MALE,2013-01-13,San Diego
11089,Abigail,Price,FEMALE,2012-12-29,Long Beach
11090,Trevor,Bryant,MALE,2011-08-07,Los Angeles
11091,Dalton,Perez,MALE,2013-01-29,Haney
11092,Cheryl,Diaz,FEMALE,2011-04-08,East Brisbane
11093,Aimee,He,FEMALE,2011-04-07,Wollongong
11094,Cedric,Ma,MALE,2013-04-07,Cranbourne
11095,Chad,Kumar,MALE,2011-04-01,Port Macquarie
11096,Andrés,Anand,MALE,2011-04-11,North Sydney
11097,Edwin,Nara,MALE,2011-04-04,Warrnambool
11098,Mallory,Rubio,FEMALE,2013-02-11,Rhodes
11099,Adam,Ross,MALE,2011-04-07,Port Macquarie
11100,Latasha,Navarro,FEMALE,2011-04-16,Cloverdale
11101,Abby,Sai,FEMALE,2011-04-29,Cranbourne
11102,Julia,Nelson,FEMALE,2013-07-16,Sydney
11103,Cassie,Chande,FEMALE,2011-04-15,Darlinghurst
11104,Edgar,Sara,MALE,2011-05-04,Gold Coast
11105,Candace,Fernandez,FEMALE,2011-05-14,Matraville
11106,Jessie,Liu,MALE,2011-05-18,Warrnambool
11107,Bianca,Lin,FEMALE,2011-05-01,St. Leonards
11108,Kari,Alvarez,FEMALE,2011-05-03,Port Macquarie
11109,Ruben,Kapoor,MALE,2011-05-10,South Melbourne
11110,Curtis,Yang,MALE,2011-05-01,Darlinghurst
11111,Meredith,Gutierrez,FEMALE,2011-05-20,Geelong
11112,Crystal,Wang,FEMALE,2011-05-25,Hervey Bay
11113,Micheal,Blanco,MALE,2013-02-01,Perth
11114,Leslie,Moreno,FEMALE,2013-03-18,Rhodes
11115,Alvin,Cai,MALE,2013-02-10,St. Leonards
11116,Clinton,Carlson,MALE,2013-03-15,Sydney
11117,April,Deng,FEMALE,2011-05-06,Matraville
11118,Alvin,Zeng,MALE,2013-07-10,Lavender Bay
11119,Evan,James,MALE,2013-02-03,Port Macquarie
11120,Beth,Jiménez,FEMALE,2011-05-14,Sydney
11121,Orlando,Suarez,MALE,2013-06-24,Newcastle
11122,Byron,Vazquez,MALE,2013-02-21,North Sydney
11123,Philip,Alvarez,MALE,2013-04-17,Sunbury
11124,Ross,Jordan,MALE,2011-05-05,Warrnambool
11125,Dana,Navarro,FEMALE,2013-01-31,Seaford
11126,Shaun,Carson,MALE,2011-05-28,North Ryde
11127,Jan,Edwards,FEMALE,2013-04-10,San Gabriel
11128,Samantha,Long,FEMALE,2013-06-19,Renton
11129,Julia,Wright,FEMALE,2011-08-06,Sedro Woolley
11130,Caroline,Russell,FEMALE,2013-12-09,Lebanon
11131,Amanda,Rivera,FEMALE,2013-10-18,Haney
11132,Melissa,Richardson,FEMALE,2013-04-09,Langford
11133,Angela,Griffin,FEMALE,2013-12-30,Lake Oswego
11134,Larry,Townsend,MALE,2011-05-03,Perth
11135,Marcus,Harris,MALE,2013-04-18,Burlingame
11136,Brianna,Morgan,FEMALE,2013-01-03,Metchosin
11137,Jasmine,Taylor,FEMALE,2013-07-31,Spokane
11138,Lauren,Davis,FEMALE,2013-09-19,Glendale
11139,Tanya,Moreno,FEMALE,2013-09-14,Cloverdale
11140,Javier,Alvarez,MALE,2013-03-19,Burbank
11141,Nicole,Ramirez,FEMALE,2013-05-16,Daly City
11142,Eduardo,Patterson,MALE,2013-02-13,Langford
11143,Jonathan,Henderson,MALE,2013-06-15,Lakewood
11144,Edward,Hernandez,MALE,2013-01-25,Ballard
11145,Jasmine,Coleman,FEMALE,2013-01-25,Beaverton
11146,Karla,Goel,FEMALE,2013-02-05,Matraville
11147,Ernest,Wu,MALE,2011-05-13,Warrnambool
11148,Ross,Vazquez,MALE,2013-03-07,East Brisbane
11149,Theodore,Gill,MALE,2013-06-04,Hervey Bay
11150,Russell,Shen,MALE,2013-03-27,Sunbury
11151,Melinda,Gill,FEMALE,2011-05-15,Sydney
11152,James,Williams,MALE,2013-01-09,Puyallup
11153,Angela,James,FEMALE,2013-03-29,Renton
11154,Megan,Walker,FEMALE,2013-01-10,Woodburn
11155,Hunter,Robinson,MALE,2013-01-06,Burbank
11156,Maria,Roberts,FEMALE,2013-01-08,Lakewood
11157,Hannah,Long,FEMALE,2013-07-24,Tacoma
11158,Jason,Wright,MALE,2013-01-19,San Gabriel
11159,Brianna,Hughes,FEMALE,2013-09-08,Woodland Hills
11160,Maurice,Tang,MALE,2013-02-21,Concord
11161,Emily,Wood,FEMALE,2013-06-01,Concord
11162,Chase,Cox,MALE,2013-02-18,La Jolla
11163,Gabriel,Wang,MALE,2013-05-01,Spring Valley
11164,Devin,Brooks,MALE,2013-04-27,Torrance
11165,Jocelyn,Alexander,FEMALE,2013-05-25,Oakland
11166,Ashley,Martinez,FEMALE,2013-10-14,Olympia
11167,Jasmine,Barnes,FEMALE,2013-01-07,Issaquah
11168,David,Rodriguez,MALE,2013-01-15,Oakland
11169,Bryce,Richardson,MALE,2013-05-26,Coronado
11170,Carol,Howard,FEMALE,2013-08-26,Burien
11171,Jonathan,Hill,MALE,2011-08-20,Woodland Hills
11172,Gabrielle,Adams,FEMALE,2013-05-03,Lynnwood
11173,Sarah,Thomas,FEMALE,2013-03-02,W. Linn
11174,Nicholas,Robinson,MALE,2013-07-13,Los Angeles
11175,Luis,Wang,MALE,2011-08-28,Beverly Hills
11176,Mason,Roberts,MALE,2013-02-02,Haney
11177,Jose,Flores,MALE,2013-03-29,San Diego
11178,Nathan,Johnson,MALE,2013-02-21,Lakewood
11179,Molly,Rodriguez,FEMALE,2013-03-12,Beverly Hills
11180,April,Anand,FEMALE,2013-03-17,Chula Vista
11181,Devin,Martin,MALE,2013-05-07,Los Angeles
11182,Stephanie,Torres,FEMALE,2013-08-28,Sedro Woolley
